cluster_id,contour_id,point_index,x,y
0,4,10,1283,711
0,4,11,1067,858
0,4,12,1068,873
0,4,13,1054,865
0,4,14,972,923
0,4,15,991,925
0,4,16,990,931
0,4,17,962,938
0,4,18,955,948
0,4,19,944,944
0,4,20,780,1062
0,4,21,806,1099
0,4,22,817,1102
0,4,23,925,1017
0,4,24,1046,939
0,4,25,1001,931
0,4,26,1001,924
0,4,27,1050,933
0,4,28,1075,927
0,4,29,1077,902
0,4,30,1088,918
0,4,31,1100,898
0,4,32,1104,906
0,4,33,1125,893
0,4,34,1104,898
0,4,35,1106,889
0,4,36,1134,879
0,4,37,1158,855
0,4,38,1160,866
0,4,39,1187,850
0,4,40,1179,846
0,4,41,1163,856
0,4,42,1167,846
0,4,43,1203,837
0,4,44,1217,820
0,4,45,1227,824
0,4,46,1365,737
0,4,47,1382,709
0,4,48,1385,720
0,4,49,1408,709
0,4,50,1424,677
0,4,51,1429,687
0,4,52,1561,588
0,4,53,1566,572
0,4,54,1574,583
0,5,0,916,450
0,5,1,904,434
0,5,2,899,430
0,5,3,894,428
0,5,4,888,423
0,5,5,880,421
0,5,6,875,422
0,5,7,869,427
0,5,8,866,434
0,5,9,859,436
0,5,10,856,439
0,5,11,855,444
0,5,12,847,449
0,5,13,845,456
0,5,14,830,473
0,5,15,822,477
0,5,16,821,485
0,5,17,806,499
0,5,18,802,508
0,5,19,792,517
0,5,20,784,527
0,5,21,782,532
0,5,22,773,542
0,5,23,773,544
0,5,24,778,545
0,5,25,787,553
0,5,26,794,552
0,5,27,799,554
0,5,28,805,559
0,5,29,813,558
0,5,30,822,562
0,5,31,827,562
0,5,32,838,569
0,5,33,867,538
0,5,34,895,517
0,5,35,907,511
0,5,36,926,495
0,5,37,925,478
0,5,38,923,475
0,5,39,924,473
0,5,40,920,465
0,5,41,920,461
0,6,0,2091,405
0,6,1,2045,455
0,6,2,1904,537
0,6,3,1913,553
0,6,4,1886,585
0,6,5,1853,590
0,6,6,1875,551
0,6,7,1857,578
0,6,8,1774,621
0,6,9,1671,749
0,6,10,1623,769
0,6,11,1655,766
0,6,12,1646,797
0,6,13,1613,803
0,6,14,1593,784
0,6,15,1550,808
0,6,16,1570,812
0,6,17,1568,840
0,6,18,1522,865
0,6,19,1535,812
0,6,20,1424,854
0,6,21,1475,861
0,6,22,1486,886
0,6,23,1453,885
0,6,24,1450,869
0,6,25,1439,879
0,6,26,1438,862
0,6,27,1416,859
0,6,28,1174,980
0,6,29,1067,1115
0,6,30,984,1165
0,6,31,908,1187
0,6,32,920,1202
0,6,33,896,1193
0,6,34,763,1273
0,6,35,667,1360
0,6,36,595,1455
0,6,37,614,1455
0,6,38,634,1419
0,6,39,622,1455
0,6,40,676,1455
0,6,41,936,1269
0,6,42,937,1249
0,6,43,954,1255
0,6,44,1098,1140
0,6,45,1138,1125
0,6,46,1124,1080
0,6,47,1153,1050
